index,year,region_id,region,sector_id,sector,gender_id,gender,employment_sectors_percentage
1,2011,0,Nacional,1,Agricultura,0,Total,25.20626637
2,2011,0,Nacional,1,Agricultura,2,Mujeres,22.4154874
3,2011,0,Nacional,1,Agricultura,1,Hombres,27.40932763
4,2011,0,Nacional,2,Pesca/Minería,0,Total,1.883799938
5,2011,0,Nacional,2,Pesca/Minería,2,Mujeres,0.29388562
6,2011,0,Nacional,2,Pesca/Minería,1,Hombres,3.138889888
7,2011,0,Nacional,3,Manufactura,0,Total,10.10762098
8,2011,0,Nacional,3,Manufactura,2,Mujeres,9.481207276
9,2011,0,Nacional,3,Manufactura,1,Hombres,10.60211653
10,2011,0,Nacional,4,Construcción,0,Total,5.661715589
11,2011,0,Nacional,4,Construcción,2,Mujeres,0.533858184
12,2011,0,Nacional,4,Construcción,1,Hombres,9.70968359
13,2011,0,Nacional,5,Comercio,0,Total,18.21404874
14,2011,0,Nacional,5,Comercio,2,Mujeres,25.15485076
15,2011,0,Nacional,5,Comercio,1,Hombres,12.73492904
16,2011,0,Nacional,6,Transportes y Comunicaciones,0,Total,8.013332994
17,2011,0,Nacional,6,Transportes y Comunicaciones,2,Mujeres,2.09407231
18,2011,0,Nacional,6,Transportes y Comunicaciones,1,Hombres,12.68604052
19,2011,0,Nacional,7,Otros servicios,0,Total,30.91321538
20,2011,0,Nacional,7,Otros servicios,2,Mujeres,40.02663845
21,2011,0,Nacional,7,Otros servicios,1,Hombres,23.7190128
22,2011,0.1,Urbana,1,Agricultura,0,Total,7.725450841
23,2011,0.1,Urbana,1,Agricultura,2,Mujeres,6.200548517
24,2011,0.1,Urbana,1,Agricultura,1,Hombres,8.955812689
25,2011,0.1,Urbana,2,Pesca/Minería,0,Total,1.875083317
26,2011,0.1,Urbana,2,Pesca/Minería,2,Mujeres,0.279171778
27,2011,0.1,Urbana,2,Pesca/Minería,1,Hombres,3.16273869
28,2011,0.1,Urbana,3,Manufactura,0,Total,12.2799797
29,2011,0.1,Urbana,3,Manufactura,2,Mujeres,10.65470183
30,2011,0.1,Urbana,3,Manufactura,1,Hombres,13.59132918
31,2011,0.1,Urbana,4,Construcción,0,Total,6.66883821
32,2011,0.1,Urbana,4,Construcción,2,Mujeres,0.661484375
33,2011,0.1,Urbana,4,Construcción,1,Hombres,11.51584962
34,2011,0.1,Urbana,5,Comercio,0,Total,22.24708054
35,2011,0.1,Urbana,5,Comercio,2,Mujeres,29.6424668
36,2011,0.1,Urbana,5,Comercio,1,Hombres,16.28014025
37,2011,0.1,Urbana,6,Transportes y Comunicaciones,0,Total,10.16219011
38,2011,0.1,Urbana,6,Transportes y Comunicaciones,2,Mujeres,2.637784499
39,2011,0.1,Urbana,6,Transportes y Comunicaciones,1,Hombres,16.23322918
40,2011,0.1,Urbana,7,Otros servicios,0,Total,39.04137729
41,2011,0.1,Urbana,7,Otros servicios,2,Mujeres,49.92384219
42,2011,0.1,Urbana,7,Otros servicios,1,Hombres,30.26090039
43,2011,0.2,Rural,1,Agricultura,0,Total,73.65474909
44,2011,0.2,Rural,1,Agricultura,2,Mujeres,69.50054011
45,2011,0.2,Rural,1,Agricultura,1,Hombres,76.74044615
46,2011,0.2,Rural,2,Pesca/Minería,0,Total,1.907958254
47,2011,0.2,Rural,2,Pesca/Minería,2,Mujeres,0.336611776
48,2011,0.2,Rural,2,Pesca/Minería,1,Hombres,3.075135743
49,2011,0.2,Rural,3,Manufactura,0,Total,4.086878785
50,2011,0.2,Rural,3,Manufactura,2,Mujeres,6.073605588
51,2011,0.2,Rural,3,Manufactura,1,Hombres,2.611161728
52,2011,0.2,Rural,4,Construcción,0,Total,2.870452057
53,2011,0.2,Rural,4,Construcción,2,Mujeres,0.16325636
54,2011,0.2,Rural,4,Construcción,1,Hombres,4.881324846
55,2011,0.2,Rural,5,Comercio,0,Total,7.036408251
56,2011,0.2,Rural,5,Comercio,2,Mujeres,12.12367997
57,2011,0.2,Rural,5,Comercio,1,Hombres,3.257643279
58,2011,0.2,Rural,6,Transportes y Comunicaciones,0,Total,2.057726034
59,2011,0.2,Rural,6,Transportes y Comunicaciones,2,Mujeres,0.515237059
60,2011,0.2,Rural,6,Transportes y Comunicaciones,1,Hombres,3.203468513
61,2011,0.2,Rural,7,Otros servicios,0,Total,8.385827527
62,2011,0.2,Rural,7,Otros servicios,2,Mujeres,11.28706914
63,2011,0.2,Rural,7,Otros servicios,1,Hombres,6.230819736
64,2011,0.4,Costa,1,Agricultura,0,Total,7.89026246
65,2011,0.4,Costa,1,Agricultura,2,Mujeres,5.709801372
66,2011,0.4,Costa,1,Agricultura,1,Hombres,9.61673751
67,2011,0.4,Costa,2,Pesca/Minería,0,Total,1.566892978
68,2011,0.4,Costa,2,Pesca/Minería,2,Mujeres,0.225476019
69,2011,0.4,Costa,2,Pesca/Minería,1,Hombres,2.629018287
70,2011,0.4,Costa,3,Manufactura,0,Total,13.09868928
71,2011,0.4,Costa,3,Manufactura,2,Mujeres,11.1110532
72,2011,0.4,Costa,3,Manufactura,1,Hombres,14.67248673
73,2011,0.4,Costa,4,Construcción,0,Total,6.826834997
74,2011,0.4,Costa,4,Construcción,2,Mujeres,0.740552311
75,2011,0.4,Costa,4,Construcción,1,Hombres,11.64591443
